,filename,game_type
0,users/notsquads/Madden NFL 19_20190312141556-frame1751-play.jpg,notsquads
1,users/notsquads/Madden NFL 19_20190212130011-frame1489-play.jpg,notsquads
2,users/notsquads/Madden NFL 19_20190305022739-frame1768-play.jpg,notsquads
3,users/notsquads/Madden NFL 19_20190305213840-frame1771-play.jpg,notsquads
4,users/notsquads/Madden NFL 19_20190312141622-frame664-play.jpg,notsquads
5,users/notsquads/Madden NFL 19_20190307195847-frame538-play.jpg,notsquads
6,users/notsquads/Madden NFL 19_20190312192628-frame1791-play.jpg,notsquads
7,users/notsquads/Madden NFL 19_20190303192049-frame501-play.jpg,notsquads
8,users/notsquads/Madden NFL 19_20190212134511-frame1781-play.jpg,notsquads
9,users/notsquads/Madden NFL 19_20190305122636-frame1740-play.jpg,notsquads
10,users/notsquads/Madden NFL 19_20190307201643-frame335-play.jpg,notsquads
11,users/notsquads/Madden NFL 19_20190303185859-frame1754-play.jpg,notsquads
12,users/notsquads/Madden NFL 19_20190305131117-frame1776-play.jpg,notsquads
13,users/notsquads/Madden NFL 19_20190307201423-frame563-play.jpg,notsquads
14,users/notsquads/Madden NFL 19_20190313104721-frame1766-play.jpg,notsquads
15,users/notsquads/Madden NFL 19_20190225004603-frame1771-play.jpg,notsquads
16,users/notsquads/Madden NFL 19_20190305154735-frame1786-play.jpg,notsquads
17,users/notsquads/Madden NFL 19_20190304171257-frame1787-play.jpg,notsquads
18,users/notsquads/Madden NFL 19_20190306202657-frame1779-play.jpg,notsquads
19,users/notsquads/Madden NFL 19_20190304222116-frame1754-play.jpg,notsquads
20,users/notsquads/Madden NFL 19_20190312181456-frame1781-play.jpg,notsquads
21,users/notsquads/Madden NFL 19_20190303185717-frame1742-play.jpg,notsquads
22,users/notsquads/Madden NFL 19_20190213145546-frame1531-play.jpg,notsquads
23,users/notsquads/Madden NFL 19_20190304161521-frame642-play.jpg,notsquads
24,users/notsquads/Madden NFL 19_20190305130223-frame1671-play.jpg,notsquads
25,users/notsquads/Madden NFL 19_20190312175407-frame1668-play.jpg,notsquads
26,users/notsquads/Madden NFL 19_20190305022150-frame1796-play.jpg,notsquads
27,users/notsquads/Madden NFL 19_20190312190046-frame1753-play.jpg,notsquads
28,users/notsquads/Madden NFL 19_20190305154216-frame1740-play.jpg,notsquads
29,users/notsquads/Madden NFL 19_20190305153542-frame1739-play.jpg,notsquads
30,users/notsquads/Madden NFL 19_20190305224159-frame1779-play.jpg,notsquads
31,users/notsquads/Madden NFL 19_20190313101802-frame1693-play.jpg,notsquads
32,users/notsquads/Madden NFL 19_20190312180616-frame1781-play.jpg,notsquads
33,users/notsquads/Madden NFL 19_20190312140156-frame1799-play.jpg,notsquads
34,users/notsquads/Madden NFL 19_20190305123648-frame1799-play.jpg,notsquads
35,users/notsquads/Madden NFL 19_20190303232416-frame1786-play.jpg,notsquads
36,users/notsquads/Madden NFL 19_20190304161456-frame1786-play.jpg,notsquads
37,users/notsquads/Madden NFL 19_20190212133257-frame1790-play.jpg,notsquads
38,users/notsquads/Madden NFL 19_20190307200247-frame445-play.jpg,notsquads
39,users/notsquads/Madden NFL 19_20190312184711-frame1217-play.jpg,notsquads
40,users/notsquads/Madden NFL 19_2019030322515-frame1766-play.jpg,notsquads
